gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Input,Symbol,Feature Type
ENSMUSG00000012889.8,10.03578877,2.349445771,1.022956373,2.296721378,0.021634669,0.049768451,ENSMUSG00000012889,ENSMUSG00000012889,Podnl1,protein coding gene
ENSMUSG00000013091.5,10.12797039,2.742705163,1.098130339,2.497613504,0.012503243,0.031539679,ENSMUSG00000013091,ENSMUSG00000013091,Tmem190,protein coding gene
ENSMUSG00000013236.16,218.3949092,3.67302783,0.391915557,9.371987817,7.11791E-21,3.27922E-19,ENSMUSG00000013236,ENSMUSG00000013236,Ptprs,protein coding gene
ENSMUSG00000013921.15,46.34151127,2.081982956,0.582174628,3.576217269,0.000348602,0.001401112,ENSMUSG00000013921,ENSMUSG00000013921,Clip3,protein coding gene
ENSMUSG00000014030.15,74.99761702,3.139009073,0.738679507,4.249487151,2.1426E-05,0.000116019,ENSMUSG00000014030,ENSMUSG00000014030,Pax5,protein coding gene
ENSMUSG00000014164.14,22.37938109,3.059530016,0.778600502,3.929524844,8.51139E-05,0.000399184,ENSMUSG00000014164,ENSMUSG00000014164,Klhl3,protein coding gene
ENSMUSG00000014303.13,144.5495773,2.159232913,0.365419327,5.908918205,3.44362E-09,3.59858E-08,ENSMUSG00000014303,ENSMUSG00000014303,Glis2,protein coding gene
ENSMUSG00000014361.5,32.79779451,2.221657808,0.635050407,3.498396007,0.000468066,0.001812815,ENSMUSG00000014361,ENSMUSG00000014361,Mertk,protein coding gene
ENSMUSG00000014444.16,229.3774785,5.093344601,0.498516417,10.21700476,1.66403E-24,1.08434E-22,ENSMUSG00000014444,ENSMUSG00000014444,Piezo1,protein coding gene
ENSMUSG00000014498.9,323.6403995,3.464676251,0.27691237,12.51181466,6.43374E-36,1.19849E-33,ENSMUSG00000014498,ENSMUSG00000014498,Ankrd52,protein coding gene
ENSMUSG00000014547.9,40.79491833,8.667594695,1.519432366,5.704495236,1.16688E-08,1.13884E-07,ENSMUSG00000014547,ENSMUSG00000014547,Wdfy2,protein coding gene
ENSMUSG00000014602.15,82.54211862,2.743829716,0.43483618,6.31003086,2.7898E-10,3.43474E-09,ENSMUSG00000014602,ENSMUSG00000014602,Kif1a,protein coding gene
ENSMUSG00000015127.14,47.91298212,4.06438089,0.622265398,6.53158749,6.50762E-11,8.7817E-10,ENSMUSG00000015127,ENSMUSG00000015127,Unkl,protein coding gene
