gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Input,Symbol,Feature Type
ENSMUSG00000008822.15,25.43733045,-2.099231241,0.661037517,-3.175661268,0.001494954,0.005018711,ENSMUSG00000008822,ENSMUSG00000008822,Acyp1,protein coding gene
ENSMUSG00000008859.7,132.2902607,-2.711261177,0.315185505,-8.60211251,7.8262E-18,2.63508E-16,ENSMUSG00000008859,ENSMUSG00000008859,Rala,protein coding gene
ENSMUSG00000008892.12,139.3911568,-3.423769238,0.366934256,-9.330742991,1.05131E-20,4.78439E-19,ENSMUSG00000008892,ENSMUSG00000008892,Vdac3,protein coding gene
ENSMUSG00000009549.14,140.779016,-2.360930483,0.318889919,-7.403590841,1.3255E-13,2.54955E-12,ENSMUSG00000009549,ENSMUSG00000009549,Srp14,protein coding gene
ENSMUSG00000009927.8,2501.335238,-3.567267113,0.266602286,-13.3804821,7.86357E-41,2.32355E-38,ENSMUSG00000009927,ENSMUSG00000009927,Rps25,protein coding gene
ENSMUSG00000010376.14,195.7270254,-2.770629067,0.309676544,-8.946848304,3.65776E-19,1.42794E-17,ENSMUSG00000010376,ENSMUSG00000010376,Nedd8,protein coding gene
ENSMUSG00000010406.11,273.513076,-2.145562169,0.37144629,-5.776237975,7.63893E-09,7.63359E-08,ENSMUSG00000010406,ENSMUSG00000010406,Mrpl52,protein coding gene
ENSMUSG00000010607.8,55.86243758,-2.78296983,0.461801899,-6.026328252,1.67726E-09,1.82392E-08,ENSMUSG00000010607,ENSMUSG00000010607,Pigyl,protein coding gene
ENSMUSG00000010911.12,131.181642,-3.617744858,0.41948545,-8.624243965,6.45174E-18,2.20259E-16,ENSMUSG00000010911,ENSMUSG00000010911,Apip,protein coding gene
ENSMUSG00000011179.7,1250.05239,-2.092711479,0.222077252,-9.423349128,4.36924E-21,2.06281E-19,ENSMUSG00000011179,ENSMUSG00000011179,Odc1,protein coding gene
ENSMUSG00000012405.15,1297.703243,-3.068999797,0.202879985,-15.12716889,1.07209E-51,7.65564E-49,ENSMUSG00000012405,ENSMUSG00000012405,Rpl15,protein coding gene
ENSMUSG00000012483.4,7.46699765,-3.016697078,1.188735236,-2.537736737,0.011157188,0.028568936,ENSMUSG00000012483,ENSMUSG00000012483,Rpa3,protein coding gene
ENSMUSG00000013083.8,8.488199652,-4.982358931,1.491996586,-3.339390302,0.000839625,0.003054446,ENSMUSG00000013083,ENSMUSG00000013083,2200002J24Rik,protein coding gene
ENSMUSG00000013622.15,98.57137142,-2.223668178,0.365034804,-6.091660727,1.11745E-09,1.26027E-08,ENSMUSG00000013622,ENSMUSG00000013622,Atraid,protein coding gene
ENSMUSG00000013701.12,74.87542656,-2.059998334,0.39531876,-5.210980465,1.87845E-07,1.50575E-06,ENSMUSG00000013701,ENSMUSG00000013701,Timm23,protein coding gene
ENSMUSG00000014177.10,74.4125501,-2.206225403,0.421490828,-5.234337869,1.65577E-07,1.34359E-06,ENSMUSG00000014177,ENSMUSG00000014177,Tvp23b,protein coding gene
ENSMUSG00000014294.4,545.7283383,-2.530480666,0.344327164,-7.349059058,1.99607E-13,3.74684E-12,ENSMUSG00000014294,ENSMUSG00000014294,Ndufa2,protein coding gene
ENSMUSG00000014313.14,383.990634,-2.815601707,0.328059362,-8.582598245,9.27539E-18,3.08663E-16,ENSMUSG00000014313,ENSMUSG00000014313,Cox6c,protein coding gene
ENSMUSG00000014769.9,294.6074023,-2.870868547,0.275844791,-10.40755035,2.29039E-25,1.63553E-23,ENSMUSG00000014769,ENSMUSG00000014769,Psmb1,protein coding gene
ENSMUSG00000014856.12,247.7623264,-2.285645636,0.341299821,-6.696884957,2.12909E-11,3.09748E-10,ENSMUSG00000014856,ENSMUSG00000014856,Tmem208,protein coding gene
ENSMUSG00000015092.9,729.2960377,-3.364925443,0.326523193,-10.30531831,6.66706E-25,4.46328E-23,ENSMUSG00000015092,ENSMUSG00000015092,Edf1,protein coding gene
ENSMUSG00000015112.15,24.34591554,-2.772480907,0.628371119,-4.412171122,1.02339E-05,5.91132E-05,ENSMUSG00000015112,ENSMUSG00000015112,Slc25a13,protein coding gene
ENSMUSG00000015126.9,36.74695489,-2.408598571,0.531132631,-4.534834483,5.76487E-06,3.50862E-05,ENSMUSG00000015126,ENSMUSG00000015126,Tsr3,protein coding gene
ENSMUSG00000015217.11,13.81086694,-2.770351767,0.839442929,-3.30022646,0.000966068,0.003452904,ENSMUSG00000015217,ENSMUSG00000015217,Hmgb3,protein coding gene
ENSMUSG00000015289.4,114.6780627,-3.523067066,0.449862389,-7.831432793,4.82341E-15,1.12621E-13,ENSMUSG00000015289,ENSMUSG00000015289,Lage3,protein coding gene
ENSMUSG00000015290.15,258.2401247,-2.767268902,0.308932851,-8.957509362,3.32095E-19,1.30538E-17,ENSMUSG00000015290,ENSMUSG00000015290,Ubl4a,protein coding gene
ENSMUSG00000015401.12,13.53727316,-3.00847642,0.893663272,-3.366454138,0.000761412,0.002807463,ENSMUSG00000015401,ENSMUSG00000015401,Cltrn,protein coding gene
ENSMUSG00000015478.13,92.82745394,-2.266574712,0.371991197,-6.093086957,1.10754E-09,1.25122E-08,ENSMUSG00000015478,ENSMUSG00000015478,Rnf5,protein coding gene
ENSMUSG00000015536.14,83.03477107,-2.487867267,0.404960084,-6.143487628,8.0729E-10,9.323E-09,ENSMUSG00000015536,ENSMUSG00000015536,Mocs2,protein coding gene
ENSMUSG00000015542.17,105.4726992,-2.068005643,0.405133221,-5.104507698,3.31657E-07,2.55228E-06,ENSMUSG00000015542,ENSMUSG00000015542,Nat9,protein coding gene
ENSMUSG00000015568.15,706.0344375,-2.344024834,0.292570084,-8.011840454,1.13004E-15,2.81493E-14,ENSMUSG00000015568,ENSMUSG00000015568,Lpl,protein coding gene
ENSMUSG00000015671.10,121.9590016,-3.210095367,0.349582136,-9.182664209,4.20555E-20,1.82007E-18,ENSMUSG00000015671,ENSMUSG00000015671,Psma2,protein coding gene
ENSMUSG00000015672.3,24.16775462,-2.899066448,0.648493269,-4.470464976,7.80497E-06,4.62523E-05,ENSMUSG00000015672,ENSMUSG00000015672,Mrpl32,protein coding gene
ENSMUSG00000015733.13,128.6752495,-2.060058125,0.507234297,-4.061354163,4.87889E-05,0.00024349,ENSMUSG00000015733,ENSMUSG00000015733,Capza2,protein coding gene
ENSMUSG00000015759.10,128.445745,-2.657678243,0.319981546,-8.305723496,9.9213E-17,2.87215E-15,ENSMUSG00000015759,ENSMUSG00000015759,Cnih1,protein coding gene
ENSMUSG00000015806.12,277.7882508,-2.380526811,0.292992953,-8.124860283,4.47878E-16,1.19933E-14,ENSMUSG00000015806,ENSMUSG00000015806,Qdpr,protein coding gene
ENSMUSG00000015932.8,286.7181985,-2.282218268,0.277574993,-8.221988032,2.00157E-16,5.60358E-15,ENSMUSG00000015932,ENSMUSG00000015932,Dstn,protein coding gene
ENSMUSG00000015943.11,55.56453168,-2.575758341,0.508821959,-5.062199643,4.14447E-07,3.13727E-06,ENSMUSG00000015943,ENSMUSG00000015943,Bola1,protein coding gene
ENSMUSG00000016252.7,847.5771789,-4.208923791,0.379849477,-11.08050437,1.55991E-28,1.57771E-26,ENSMUSG00000016252,ENSMUSG00000016252,Atp5f1e,protein coding gene
ENSMUSG00000016308.12,44.91922094,-2.081156518,0.482180114,-4.316139254,1.58782E-05,8.82076E-05,ENSMUSG00000016308,ENSMUSG00000016308,Ube2a,protein coding gene
ENSMUSG00000016319.3,670.2853271,-3.166684402,0.213372307,-14.84112184,7.94167E-50,4.86087E-47,ENSMUSG00000016319,ENSMUSG00000016319,Slc25a5,protein coding gene
ENSMUSG00000016344.14,101.8171526,-2.371615956,0.365871165,-6.482106779,9.04506E-11,1.19242E-09,ENSMUSG00000016344,ENSMUSG00000016344,Ppdpf,protein coding gene
ENSMUSG00000016427.7,309.0301787,-2.228002587,0.291454374,-7.644430092,2.09873E-14,4.52973E-13,ENSMUSG00000016427,ENSMUSG00000016427,Ndufa1,protein coding gene
ENSMUSG00000016559.14,542.2747797,-2.125442367,0.225167093,-9.439400495,3.74918E-21,1.78482E-19,ENSMUSG00000016559,ENSMUSG00000016559,H3f3b,protein coding gene
ENSMUSG00000016833.14,34.25531454,-3.958100956,0.699270192,-5.660331305,1.51081E-08,1.44488E-07,ENSMUSG00000016833,ENSMUSG00000016833,Mrps18c,protein coding gene
ENSMUSG00000017188.3,459.1290389,-4.018458987,0.3302661,-12.16733714,4.63973E-34,7.43137E-32,ENSMUSG00000017188,ENSMUSG00000017188,Coa3,protein coding gene
ENSMUSG00000017311.15,67.34869569,-2.0387408,0.425216055,-4.794599767,1.63E-06,1.1059E-05,ENSMUSG00000017311,ENSMUSG00000017311,Pyy,protein coding gene
ENSMUSG00000017344.4,571.9190429,-2.309287597,0.371227178,-6.220685693,4.94987E-10,5.87065E-09,ENSMUSG00000017344,ENSMUSG00000017344,Vtn,protein coding gene
ENSMUSG00000017404.12,1986.934045,-2.373738548,0.270455381,-8.776821289,1.6816E-18,6.21104E-17,ENSMUSG00000017404,ENSMUSG00000017404,Rpl19,protein coding gene
