gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Input,Symbol,Feature Type
ENSMUSG00000078307.2,5.090812089,3.723071214,1.617793145,2.301327104,0.021373149,0.042732026,ENSMUSG00000078307,ENSMUSG00000078307,AI593442,protein coding gene
ENSMUSG00000061603.7,30.95227479,3.233843145,0.654905936,4.937874228,7.89787E-07,4.25969E-06,ENSMUSG00000061603,ENSMUSG00000061603,Akap6,protein coding gene
ENSMUSG00000063810.6,85.32106142,2.175986999,0.361903895,6.012610054,1.8256E-09,1.45154E-08,ENSMUSG00000063810,ENSMUSG00000063810,Alms1,protein coding gene
ENSMUSG00000020892.10,13.63434177,2.088175026,0.773108389,2.701011986,0.006912885,0.015951464,ENSMUSG00000020892,ENSMUSG00000020892,Aloxe3,protein coding gene
ENSMUSG00000021986.7,8.589143707,2.898153594,1.08740659,2.665197748,0.007694306,0.017561251,ENSMUSG00000021986,ENSMUSG00000021986,Amer2,protein coding gene
ENSMUSG00000045174.10,7.082740906,4.332536821,1.668108416,2.597275321,0.009396657,0.020880464,ENSMUSG00000045174,ENSMUSG00000045174,Amer3,protein coding gene
ENSMUSG00000035262.4,21.92570762,2.192611166,0.621733242,3.526610798,0.000420915,0.001324817,ENSMUSG00000035262,ENSMUSG00000035262,Amh,protein coding gene
ENSMUSG00000028553.12,13.2526819,2.487649547,0.841080896,2.957681666,0.00309962,0.007864053,ENSMUSG00000028553,ENSMUSG00000028553,Angptl3,protein coding gene
ENSMUSG00000002289.15,291.411397,2.686963285,0.265963829,10.10273953,5.37201E-24,1.91158E-22,ENSMUSG00000002289,ENSMUSG00000002289,Angptl4,protein coding gene
ENSMUSG00000032826.16,229.8008963,3.009672915,0.310898671,9.680558953,3.64716E-22,1.09046E-20,ENSMUSG00000032826,ENSMUSG00000032826,Ank2,protein coding gene
ENSMUSG00000035569.16,2436.768073,2.173429537,0.175079594,12.41395121,2.19545E-35,1.86293E-33,ENSMUSG00000035569,ENSMUSG00000035569,Ankrd11,protein coding gene
